                                                          |       2000 |       2001 |       2002 |       2003 |       2004 |       2005
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Mexico                                                    |            |            |            |            |            |           
                                               co2_emi    |       4.04 |       4.12 |       3.99 |       4.12 |          0 |          0
                                               ene_use    |    1534.91 |    1537.34 |    1556.03 |    1583.49 |    1621.51 |          0
Micronesia, Fed. Sts.                                     |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Middle East & North Africa                                |            |            |            |            |            |           
                                               co2_emi    |       3.21 |       3.21 |        3.5 |       3.43 |          0 |          0
                                               ene_use    |    1076.66 |    1104.58 |    1145.34 |    1157.82 |    1190.15 |          0
Middle income                                             |            |            |            |            |            |           
                                               co2_emi    |       3.02 |       3.09 |       3.28 |       3.51 |          0 |          0
                                               ene_use    |    1234.39 |    1238.01 |    1270.77 |    1345.25 |    1436.97 |          0
Moldova                                                   |            |            |            |            |            |           
                                               co2_emi    |       1.58 |       1.73 |       1.67 |       1.82 |          0 |          0
                                               ene_use    |     692.33 |     768.61 |      744.9 |     837.69 |     862.13 |          0
Monaco                                                    |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Mongolia                                                  |            |            |            |            |            |           
                                               co2_emi    |       3.13 |       3.25 |       3.38 |       3.21 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Morocco                                                   |            |            |            |            |            |           
                                               co2_emi    |        1.2 |       1.32 |       1.32 |       1.28 |          0 |          0
                                               ene_use    |     350.32 |     370.93 |     373.38 |     370.01 |      383.8 |          0
Mozambique                                                |            |            |            |            |            |           
                                               co2_emi    |       0.07 |       0.07 |       0.08 |       0.08 |          0 |          0
                                               ene_use    |     402.17 |     420.36 |     431.72 |      435.8 |     441.26 |          0
Myanmar                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.19 |       0.16 |       0.18 |       0.19 |          0 |          0
                                               ene_use    |     265.17 |     256.42 |     266.03 |     276.49 |     282.86 |          0
Namibia                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.92 |       1.07 |       1.08 |       1.17 |          0 |          0
                                               ene_use    |     544.23 |     594.84 |     619.36 |     639.99 |     665.42 |          0
Nepal                                                     |            |            |            |            |            |           
                                               co2_emi    |       0.13 |       0.14 |       0.11 |       0.11 |          0 |          0
                                               ene_use    |     334.21 |     336.98 |     333.72 |     335.89 |     340.53 |          0
Netherlands                                               |            |            |            |            |            |           
                                               co2_emi    |       8.73 |       8.72 |       9.32 |       8.68 |          0 |          0
                                               ene_use    |     4761.5 |    4858.13 |    4870.55 |    4988.39 |    5045.35 |          0
Netherlands Antilles                                      |            |            |            |            |            |           
                                               co2_emi    |       18.7 |      18.92 |      19.15 |      22.65 |          0 |          0
                                               ene_use    |    7907.32 |    8368.84 |     8375.2 |    9209.76 |    9498.54 |          0
New Caledonia                                             |            |            |            |            |            |           
                                               co2_emi    |       8.47 |       8.36 |       8.22 |       8.28 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
New Zealand                                               |            |            |            |            |            |           
                                               co2_emi    |       8.59 |       9.02 |       8.78 |       8.67 |          0 |          0
                                               ene_use    |    4495.83 |     4492.2 |     4502.3 |    4309.59 |    4344.31 |          0
Nicaragua                                                 |            |            |            |            |            |           
                                               co2_emi    |       0.77 |        0.8 |       0.78 |       0.77 |          0 |          0
                                               ene_use    |      558.5 |     559.75 |     552.24 |     613.75 |     643.39 |          0
Niger                                                     |            |            |            |            |            |           
                                               co2_emi    |        0.1 |        0.1 |        0.1 |       0.09 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Nigeria                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.37 |       0.38 |       0.41 |       0.39 |          0 |          0
                                               ene_use    |     715.48 |     720.31 |     727.51 |     726.46 |     717.31 |          0
Northern Mariana Islands                                  |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Norway                                                    |            |            |            |            |            |           
                                               co2_emi    |       7.41 |       8.13 |      12.55 |       9.86 |          0 |          0
                                               ene_use    |    5743.04 |    5861.07 |       5526 |    5946.68 |     6023.8 |          0
Oman                                                      |            |            |            |            |            |           
                                               co2_emi    |       8.98 |       9.88 |      12.15 |      12.84 |          0 |          0
                                               ene_use    |    3959.87 |    4344.43 |    4712.86 |    4975.26 |    4667.22 |          0
Pakistan                                                  |            |            |            |            |            |           
                                               co2_emi    |       0.77 |       0.74 |       0.77 |       0.77 |          0 |          0
                                               ene_use    |     463.15 |      461.4 |     456.96 |     466.91 |     489.09 |          0
Palau                                                     |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |      12.27 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Panama                                                    |            |            |            |            |            |           
                                               co2_emi    |       1.95 |       2.33 |        1.9 |       1.93 |          0 |          0
                                               ene_use    |     874.93 |     954.29 |     843.99 |     835.81 |     801.17 |          0
Papua New Guinea                                          |            |            |            |            |            |           
                                               co2_emi    |       0.46 |       0.46 |       0.45 |       0.44 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Paraguay                                                  |            |            |            |            |            |           
                                               co2_emi    |       0.69 |        0.7 |       0.72 |       0.73 |          0 |          0
                                               ene_use    |     722.75 |     719.52 |     701.47 |      702.6 |     694.36 |          0
Peru                                                      |            |            |            |            |            |           
                                               co2_emi    |       1.05 |          1 |       0.97 |       0.96 |          0 |          0
                                               ene_use    |     482.73 |     459.51 |     449.28 |     431.49 |     478.84 |          0
Philippines                                               |            |            |            |            |            |           
                                               co2_emi    |       1.03 |       0.99 |       0.99 |       0.96 |          0 |          0
                                               ene_use    |     559.83 |      539.4 |     537.47 |      524.9 |     542.39 |          0
Poland                                                    |            |            |            |            |            |           
                                               co2_emi    |       7.82 |        7.9 |       7.72 |       7.97 |          0 |          0
                                               ene_use    |    2324.69 |    2353.09 |    2331.32 |    2393.92 |    2402.74 |          0
Portugal                                                  |            |            |            |            |            |           
                                               co2_emi    |       5.84 |       5.66 |       6.01 |       5.51 |          0 |          0
                                               ene_use    |    2473.16 |    2470.82 |    2551.71 |    2468.91 |       2528 |          0
Puerto Rico                                               |            |            |            |            |            |           
                                               co2_emi    |       2.61 |       3.75 |       3.83 |       0.54 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Qatar                                                     |            |            |            |            |            |           
                                               co2_emi    |      59.96 |       66.2 |      67.27 |      62.97 |          0 |          0
                                               ene_use    |   21428.61 |   21959.24 |   21884.46 |   21388.72 |   23246.45 |          0
Romania                                                   |            |            |            |            |            |           
                                               co2_emi    |       3.84 |       4.14 |       4.02 |       4.19 |          0 |          0
                                               ene_use    |    1616.45 |    1682.95 |    1722.92 |    1794.17 |    1778.43 |          0
Russian Federation                                        |            |            |            |            |            |           
                                               co2_emi    |       9.87 |       9.86 |       9.84 |      10.33 |          0 |          0
                                               ene_use    |    4196.41 |    4256.99 |    4251.95 |    4423.81 |    4459.74 |          0
Rwanda                                                    |            |            |            |            |            |           
                                               co2_emi    |       0.07 |       0.07 |       0.07 |       0.07 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Samoa                                                     |            |            |            |            |            |           
                                               co2_emi    |       0.78 |        0.8 |       0.79 |       0.82 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
San Marino                                                |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Sao Tome and Principe                                     |            |            |            |            |            |           
                                               co2_emi    |       0.63 |       0.64 |       0.63 |       0.61 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Saudi Arabia                                              |            |            |            |            |            |           
                                               co2_emi    |      13.15 |      13.36 |      13.34 |      13.71 |          0 |          0
                                               ene_use    |    5482.15 |    5662.68 |    5824.38 |    5904.02 |    6232.45 |          0
Senegal                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.39 |       0.41 |       0.43 |       0.43 |          0 |          0
                                               ene_use    |     239.49 |      239.2 |     236.27 |     233.21 |     241.61 |          0
Serbia and Montenegro                                     |            |            |            |            |            |           
                                               co2_emi    |       5.01 |       5.37 |       5.81 |       6.16 |          0 |          0
                                               ene_use    |    1638.03 |    1795.26 |    1924.95 |    2004.36 |          0 |          0
Seychelles                                                |            |            |            |            |            |           
                                               co2_emi    |       6.95 |       7.89 |       6.48 |       6.59 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Sierra Leone                                              |            |            |            |            |            |           
                                               co2_emi    |       0.12 |       0.13 |       0.13 |       0.13 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Singapore                                                 |            |            |            |            |            |           
                                               co2_emi    |      14.05 |      13.68 |       13.3 |      11.42 |          0 |          0
                                               ene_use    |    5537.75 |    5563.52 |    5852.37 |    5201.66 |    6034.01 |          0
Slovak Republic                                           |            |            |            |            |            |           
                                               co2_emi    |       6.57 |       6.89 |       6.87 |       6.98 |          0 |          0
                                               ene_use    |    3291.68 |    3455.17 |    3484.23 |    3463.05 |    3406.63 |          0
Slovenia                                                  |            |            |            |            |            |           
                                               co2_emi    |       7.25 |       7.58 |       7.66 |       7.72 |          0 |          0
                                               ene_use    |    3262.44 |    3415.16 |    3481.44 |    3510.55 |    3590.89 |          0
Solomon Islands                                           |            |            |            |            |            |           
                                               co2_emi    |       0.39 |        0.4 |       0.39 |        0.4 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Somalia                                                   |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
South Africa                                              |            |            |            |            |            |           
                                               co2_emi    |       7.41 |       7.41 |       7.85 |       7.94 |          0 |          0
                                               ene_use    |     2565.8 |    2593.23 |    2511.04 |    2658.11 |    2828.64 |          0
South Asia                                                |            |            |            |            |            |           
                                               co2_emi    |       0.97 |       0.96 |       0.99 |       1.01 |          0 |          0
                                               ene_use    |     460.46 |     460.91 |     464.53 |      471.3 |     485.87 |          0
Spain                                                     |            |            |            |            |            |           
                                               co2_emi    |          7 |       6.96 |       7.35 |       7.36 |          0 |          0
                                               ene_use    |    3096.55 |    3139.43 |    3185.61 |    3239.15 |    3330.93 |          0
Sri Lanka                                                 |            |            |            |            |            |           
                                               co2_emi    |       0.53 |       0.54 |       0.56 |       0.54 |          0 |          0
                                               ene_use    |     417.53 |      422.7 |     417.74 |     448.92 |        485 |          0
St. Kitts and Nevis                                       |            |            |            |            |            |           
                                               co2_emi    |       2.32 |       2.22 |       2.43 |       2.67 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
St. Lucia                                                 |            |            |            |            |            |           
                                               co2_emi    |       2.07 |       1.97 |       1.91 |       2.03 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
St. Vincent and the Grenadines                            |            |            |            |            |            |           
                                               co2_emi    |       1.33 |       1.51 |       1.56 |       1.65 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Sub-Saharan Africa                                        |            |            |            |            |            |           
                                               co2_emi    |       0.72 |       0.72 |       0.74 |       0.74 |          0 |          0
                                               ene_use    |     660.36 |     665.59 |     662.82 |      676.7 |     691.65 |          0
Sudan                                                     |            |            |            |            |            |           
                                               co2_emi    |       0.17 |       0.19 |       0.24 |       0.26 |          0 |          0
                                               ene_use    |     419.27 |     433.89 |     459.79 |     475.87 |     496.52 |          0
Suriname                                                  |            |            |            |            |            |           
                                               co2_emi    |        4.9 |       5.17 |        5.1 |       5.04 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Swaziland                                                 |            |            |            |            |            |           
                                               co2_emi    |       0.96 |       0.92 |       0.89 |       0.86 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Sweden                                                    |            |            |            |            |            |           
                                               co2_emi    |       5.24 |       5.38 |       6.18 |       5.88 |          0 |          0
                                               ene_use    |    5492.39 |    5814.71 |    5909.01 |    5773.78 |    5998.34 |          0
Switzerland                                               |            |            |            |            |            |           
                                               co2_emi    |       5.46 |       5.96 |       5.59 |        5.5 |          0 |          0
                                               ene_use    |    3641.17 |    3828.04 |    3675.38 |    3661.28 |    3671.79 |          0
Syrian Arab Republic                                      |            |            |            |            |            |           
                                               co2_emi    |       2.87 |       2.75 |       2.85 |        2.7 |          0 |          0
                                               ene_use    |    1044.74 |     984.48 |    1014.64 |      981.7 |     992.51 |          0
Tajikistan                                                |            |            |            |            |            |           
                                               co2_emi    |       0.65 |       0.69 |       0.75 |       0.73 |          0 |          0
                                               ene_use    |     469.64 |     504.33 |     478.01 |      498.7 |     515.66 |          0
Tanzania                                                  |            |            |            |            |            |           
                                               co2_emi    |       0.08 |       0.09 |        0.1 |        0.1 |          0 |          0
                                               ene_use    |     397.36 |     421.41 |     445.77 |     469.54 |     499.87 |          0
Thailand                                                  |            |            |            |            |            |           
                                               co2_emi    |       3.28 |        3.5 |       3.68 |       3.89 |          0 |          0
                                               ene_use    |    1213.74 |    1260.88 |    1331.62 |    1405.71 |    1524.03 |          0
Timor-Leste                                               |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |       0.19 |       0.18 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Togo                                                      |            |            |            |            |            |           
                                               co2_emi    |        0.3 |       0.26 |       0.26 |       0.38 |          0 |          0
                                               ene_use    |     386.48 |     363.48 |     394.12 |     445.36 |     448.87 |          0
Tonga                                                     |            |            |            |            |            |           
                                               co2_emi    |       1.21 |       1.05 |       1.05 |       1.12 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Trinidad and Tobago                                       |            |            |            |            |            |           
                                               co2_emi    |      19.69 |      20.02 |      21.46 |      22.08 |          0 |          0
                                               ene_use    |    7671.83 |    7896.26 |    8326.93 |    8553.31 |    8675.12 |          0
Tunisia                                                   |            |            |            |            |            |           
                                               co2_emi    |       2.06 |       2.12 |       2.13 |       2.12 |          0 |          0
                                               ene_use    |     793.64 |     825.65 |     822.03 |     837.42 |     876.22 |          0
Turkey                                                    |            |            |            |            |            |           
                                               co2_emi    |       3.29 |       2.91 |       2.99 |       3.11 |          0 |          0
                                               ene_use    |    1142.49 |    1036.19 |    1080.06 |    1114.28 |    1151.16 |          0
Turkmenistan                                              |            |            |            |            |            |           
                                               co2_emi    |       7.91 |       8.68 |       9.08 |       9.22 |          0 |          0
                                               ene_use    |    3214.69 |    3305.17 |    3311.73 |    3646.63 |    3264.79 |          0
Uganda                                                    |            |            |            |            |            |           
                                               co2_emi    |       0.06 |       0.06 |       0.07 |       0.06 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Ukraine                                                   |            |            |            |            |            |           
                                               co2_emi    |       6.18 |       6.27 |       6.35 |       6.58 |          0 |          0
                                               ene_use    |    2643.66 |    2670.43 |    2735.94 |    2949.03 |    2958.05 |          0
United Arab Emirates                                      |            |            |            |            |            |           
                                               co2_emi    |      35.58 |      33.46 |      33.66 |      33.41 |          0 |          0
                                               ene_use    |   11022.79 |   10290.42 |   10697.12 |   10512.74 |    10141.9 |          0
United Kingdom                                            |            |            |            |            |            |           
                                               co2_emi    |       9.31 |       9.51 |       9.27 |       9.37 |          0 |          0
                                               ene_use    |    3898.85 |    3942.35 |    3853.37 |    3898.37 |     3905.6 |          0
United States                                             |            |            |            |            |            |           
                                               co2_emi    |      20.52 |      20.14 |      20.09 |       19.9 |          0 |          0
                                               ene_use    |     8164.4 |    7915.89 |       7936 |     7843.2 |    7920.46 |          0
Upper middle income                                       |            |            |            |            |            |           
                                               co2_emi    |       5.18 |       5.16 |       5.14 |       5.28 |          0 |          0
                                               ene_use    |    2125.49 |    2134.93 |    2129.39 |    2182.04 |    2221.38 |          0
Uruguay                                                   |            |            |            |            |            |           
                                               co2_emi    |       1.48 |       1.37 |       1.31 |       1.32 |          0 |          0
                                               ene_use    |     932.49 |     817.63 |     758.04 |     761.91 |     867.12 |          0
Uzbekistan                                                |            |            |            |            |            |           
                                               co2_emi    |       4.81 |        4.8 |       4.83 |       4.83 |          0 |          0
                                               ene_use    |    2034.52 |    2025.75 |    2046.04 |    2064.05 |    2087.58 |          0
Vanuatu                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.42 |       0.43 |       0.42 |       0.43 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
Venezuela, RB                                             |            |            |            |            |            |           
                                               co2_emi    |       6.69 |       6.37 |       5.37 |       5.61 |          0 |          0
                                               ene_use    |    2333.26 |    2348.31 |    2290.33 |     2068.4 |    2149.42 |          0
Vietnam                                                   |            |            |            |            |            |           
                                               co2_emi    |       0.69 |       0.77 |        0.9 |       0.94 |          0 |          0
                                               ene_use    |     482.05 |     501.58 |     533.96 |     546.76 |     612.18 |          0
Virgin Islands (U.S.)                                     |            |            |            |            |            |           
                                               co2_emi    |     111.57 |     122.13 |     113.25 |     124.28 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
West Bank and Gaza                                        |            |            |            |            |            |           
                                               co2_emi    |          0 |          0 |          0 |          0 |          0 |          0
                                               ene_use    |          0 |          0 |          0 |          0 |          0 |          0
World                                                     |            |            |            |            |            |           
                                               co2_emi    |       3.81 |       3.83 |       3.92 |       4.04 |          0 |          0
                                               ene_use    |    1686.82 |    1677.28 |    1693.42 |    1730.77 |    1790.49 |          0
Yemen, Rep.                                               |            |            |            |            |            |           
                                               co2_emi    |       0.81 |       0.88 |       0.85 |       0.87 |          0 |          0
                                               ene_use    |     271.74 |     291.47 |     281.65 |     294.79 |     313.34 |          0
Zambia                                                    |            |            |            |            |            |           
                                               co2_emi    |       0.17 |       0.18 |       0.18 |       0.19 |          0 |          0
                                               ene_use    |     586.15 |     592.58 |     596.39 |     600.56 |     604.85 |          0
Zimbabwe                                                  |            |            |            |            |            |           
                                               co2_emi    |       1.17 |       1.07 |       0.99 |       0.89 |          0 |          0
                                               ene_use    |     795.71 |     772.89 |     765.47 |     743.83 |     718.98 |          0
